"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.288454855,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.261506728,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.150738208,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.233424391,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.142221229,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.740407308,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.770711605,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.311163633,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.390628883,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.293663366,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.792819309,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.416049809,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.268596012,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.820594162,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.703263543,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.922074081,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.044750089,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.699125301,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-19.565486236,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",17.436249927,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.107067907,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.360018281,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",5.513148699,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.254400281,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-2.390667495,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.306256053,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.047666771,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.108688104,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.309878022,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.723071716,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.489427817,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.902682323,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.034584867,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.722129876,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.46488283,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.384773342,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.049696965,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.715657863,
