Item,Availability level,Date,,,,,,,,
,,,,,,,,,,
,,29 Oct 2021 - 1 Nov 2021,5 Nov 2021 - 8 Nov 2021,12 Nov 2021 - 15 Nov 2021,19 Nov 2021 - 22 Nov 2021,26 Nov 2021 - 29 Nov 2021,3 Dec 2021 - 6 Dec 2021,10 Dec 2021 - 13 Dec 2021,17 Dec 2021 - 20 Dec 2021,
Total,None,2.18%,2.12%,1.95%,1.74%,1.80%,1.61%,1.48%,1.66%,
Total,Low,8.33%,7.37%,7.78%,7.45%,6.89%,7.21%,7.27%,7.08%,
Total,Medium,35.44%,38.27%,36.22%,37.64%,37.47%,37.74%,37.88%,39.70%,
Total,High,54.05%,52.24%,54.05%,53.17%,53.83%,53.44%,53.37%,51.56%,
Beer,None,0.78%,0.38%,0.40%,0.38%,0.39%,0.38%,0.38%,0.39%,
Beer,Low,0.78%,1.14%,0.40%,1.92%,3.09%,1.51%,1.13%,0.39%,
Beer,Medium,25.97%,30.42%,28.69%,23.85%,26.64%,29.06%,23.40%,26.46%,
Beer,High,72.48%,68.06%,70.52%,73.85%,69.88%,69.06%,75.09%,72.76%,
Bread,None,0.77%,1.13%,0.39%,0.38%,0.38%,0.37%,0.37%,0.38%,
Bread,Low,6.15%,7.52%,3.94%,5.73%,4.58%,3.36%,4.10%,5.00%,
Bread,Medium,46.92%,42.48%,42.91%,40.08%,42.37%,42.16%,43.66%,44.62%,
Bread,High,46.15%,48.87%,52.76%,53.82%,52.67%,54.10%,51.87%,50.00%,
Chocolate selection boxes,None,8.64%,5.79%,2.89%,3.94%,2.76%,3.41%,3.03%,7.00%,
Chocolate selection boxes,Low,8.23%,6.18%,4.96%,4.33%,6.30%,7.95%,9.85%,10.89%,
Chocolate selection boxes,Medium,21.40%,22.39%,25.62%,27.95%,31.10%,25.00%,32.58%,36.96%,
Chocolate selection boxes,High,61.73%,65.64%,66.53%,63.78%,59.84%,63.64%,54.55%,45.14%,
Crisps (multipack),None,0.00%,0.00%,3.59%,3.83%,4.21%,1.12%,1.49%,1.54%,
Crisps (multipack),Low,0.00%,0.00%,25.90%,19.92%,19.92%,16.10%,12.69%,9.65%,
Crisps (multipack),Medium,0.00%,0.00%,39.44%,43.68%,38.31%,47.94%,47.39%,45.95%,
Crisps (multipack),High,0.00%,0.00%,31.08%,32.57%,37.55%,34.83%,38.43%,42.86%,
Dried pasta,None,1.54%,0.38%,0.79%,0.38%,0.77%,1.12%,0.37%,0.38%,
Dried pasta,Low,11.15%,10.15%,9.84%,9.23%,8.43%,5.22%,8.96%,6.54%,
Dried pasta,Medium,43.46%,46.24%,44.88%,46.92%,47.89%,43.66%,38.43%,41.92%,
Dried pasta,High,43.85%,43.23%,44.49%,43.46%,42.91%,50.00%,52.24%,51.15%,
Fresh chicken,None,1.16%,1.13%,1.57%,1.15%,1.53%,1.12%,0.75%,0.77%,
Fresh chicken,Low,4.63%,5.64%,5.91%,4.20%,4.20%,5.60%,6.34%,3.85%,
Fresh chicken,Medium,30.89%,30.45%,34.25%,34.35%,32.06%,31.34%,33.21%,41.15%,
Fresh chicken,High,63.32%,62.78%,58.27%,60.31%,62.21%,61.94%,59.70%,54.23%,
Fresh fish,None,1.63%,1.19%,0.42%,2.02%,2.02%,1.57%,0.79%,1.21%,
Fresh fish,Low,8.54%,8.30%,6.67%,7.26%,6.88%,7.87%,11.86%,4.84%,
Fresh fish,Medium,36.18%,44.27%,47.50%,44.35%,42.51%,44.09%,38.34%,50.00%,
Fresh fish,High,53.66%,46.25%,45.42%,46.37%,48.58%,46.46%,49.01%,43.95%,
Fresh fruit,None,0.39%,1.13%,0.79%,0.76%,0.76%,0.75%,0.75%,0.77%,
Fresh fruit,Low,5.02%,8.27%,7.48%,6.11%,4.96%,1.87%,4.85%,1.92%,
Fresh fruit,Medium,42.08%,43.23%,40.55%,45.42%,39.31%,44.40%,36.57%,43.08%,
Fresh fruit,High,52.51%,47.37%,51.18%,47.71%,54.96%,52.99%,57.84%,54.23%,
Fresh pork,None,2.72%,2.63%,3.57%,2.30%,1.14%,2.61%,1.87%,1.54%,
Fresh pork,Low,12.06%,10.90%,9.13%,12.26%,10.65%,14.93%,9.70%,13.85%,
Fresh pork,Medium,37.35%,42.86%,41.67%,44.83%,42.21%,38.06%,42.54%,44.23%,
Fresh pork,High,47.86%,43.61%,45.63%,40.61%,46.01%,44.40%,45.90%,40.38%,
Fresh vegetables,None,0.39%,0.75%,0.40%,0.76%,0.76%,0.75%,0.75%,0.77%,
Fresh vegetables,Low,5.41%,4.53%,3.16%,3.44%,3.05%,3.36%,4.48%,3.08%,
Fresh vegetables,Medium,34.75%,43.40%,33.60%,39.69%,34.35%,37.69%,32.84%,32.31%,
Fresh vegetables,High,59.46%,51.32%,62.85%,56.11%,61.83%,58.21%,61.94%,63.85%,
Frozen chips,None,1.16%,1.89%,0.80%,1.15%,2.31%,0.75%,0.38%,0.39%,
Frozen chips,Low,9.27%,7.17%,4.38%,6.15%,5.38%,7.55%,7.52%,4.65%,
Frozen chips,Medium,33.20%,35.47%,34.66%,33.08%,36.54%,38.11%,39.47%,36.43%,
Frozen chips,High,56.37%,55.47%,60.16%,59.62%,55.77%,53.58%,52.63%,58.53%,
Frozen fish,None,1.16%,0.76%,0.40%,0.39%,0.78%,0.77%,1.15%,0.78%,
Frozen fish,Low,5.81%,6.49%,5.62%,4.28%,4.67%,4.60%,3.45%,3.52%,
Frozen fish,Medium,29.84%,35.88%,32.93%,36.19%,37.74%,35.25%,40.23%,39.84%,
Frozen fish,High,63.18%,56.87%,61.04%,59.14%,56.81%,59.39%,55.17%,55.86%,
Frozen turkey,None,11.58%,11.54%,10.24%,10.33%,8.06%,8.11%,6.36%,5.56%,
Frozen turkey,Low,10.00%,6.25%,5.37%,3.29%,5.21%,9.46%,10.91%,18.06%,
Frozen turkey,Medium,32.11%,32.21%,32.68%,32.86%,38.39%,38.29%,41.82%,40.28%,
Frozen turkey,High,46.32%,50.00%,51.71%,53.52%,48.34%,44.14%,40.91%,36.11%,
Frozen vegetables,None,1.93%,0.75%,0.40%,0.77%,0.77%,0.75%,0.75%,0.39%,
Frozen vegetables,Low,9.27%,6.04%,7.14%,6.15%,3.08%,6.39%,6.02%,3.49%,
Frozen vegetables,Medium,39.00%,41.13%,36.11%,34.62%,39.62%,37.22%,36.47%,36.43%,
Frozen vegetables,High,49.81%,52.08%,56.35%,58.46%,56.54%,55.64%,56.77%,59.69%,
Ibuprofen,None,2.70%,4.87%,6.69%,3.85%,4.98%,3.40%,3.01%,4.67%,
Ibuprofen,Low,8.11%,10.86%,9.06%,11.92%,11.49%,14.34%,11.28%,14.01%,
Ibuprofen,Medium,36.68%,35.96%,34.65%,38.46%,36.02%,32.45%,41.73%,43.58%,
Ibuprofen,High,52.51%,48.31%,49.61%,45.77%,47.51%,49.81%,43.98%,37.74%,
Milk,None,0.77%,1.13%,0.39%,0.38%,0.38%,0.37%,0.37%,0.38%,
Milk,Low,4.62%,10.15%,7.87%,7.25%,4.58%,5.60%,6.72%,4.62%,
Milk,Medium,51.54%,49.62%,43.70%,48.09%,50.00%,43.66%,46.64%,44.62%,
Milk,High,43.08%,39.10%,48.03%,44.27%,45.04%,50.37%,46.27%,50.38%,
Paracetamol,None,3.09%,3.76%,5.12%,3.45%,2.68%,4.12%,6.37%,6.18%,
Paracetamol,Low,11.58%,10.90%,11.81%,14.56%,13.41%,11.99%,13.86%,18.53%,
Paracetamol,Medium,32.43%,39.10%,32.28%,32.95%,33.33%,37.83%,35.58%,32.82%,
Paracetamol,High,52.90%,46.24%,50.79%,49.04%,50.57%,46.07%,44.19%,42.47%,
Potatoes,None,0.77%,1.13%,0.79%,0.38%,1.15%,0.75%,0.75%,0.77%,
Potatoes,Low,8.11%,6.04%,6.32%,5.75%,4.20%,2.99%,5.22%,3.85%,
Potatoes,Medium,27.80%,31.70%,30.43%,27.97%,32.44%,35.07%,26.49%,31.15%,
Potatoes,High,63.32%,61.13%,62.45%,65.90%,62.21%,61.19%,67.54%,64.23%,
Soap,None,0.77%,0.75%,0.78%,0.76%,1.53%,1.87%,1.87%,1.15%,
Soap,Low,7.31%,5.26%,7.06%,7.63%,4.58%,5.97%,7.09%,6.15%,
Soap,Medium,37.31%,42.48%,34.12%,36.26%,36.26%,35.07%,37.69%,40.38%,
Soap,High,54.62%,51.50%,58.04%,55.34%,57.63%,57.09%,53.36%,52.31%,
Sparkling water,None,3.85%,2.63%,1.97%,1.53%,1.15%,1.87%,1.12%,1.92%,
Sparkling water,Low,19.62%,14.29%,13.78%,13.79%,12.60%,10.45%,7.84%,8.46%,
Sparkling water,Medium,33.46%,34.96%,40.16%,40.23%,33.97%,36.57%,44.40%,41.15%,
Sparkling water,High,43.08%,48.12%,44.09%,44.44%,52.29%,51.12%,46.64%,48.46%,
Toilet rolls,None,1.15%,0.75%,0.40%,0.38%,0.38%,0.75%,0.75%,0.39%,
Toilet rolls,Low,7.69%,5.26%,7.51%,6.13%,7.66%,7.87%,4.12%,8.88%,
Toilet rolls,Medium,34.62%,38.72%,37.94%,38.31%,36.78%,42.70%,41.95%,45.17%,
Toilet rolls,High,56.54%,55.26%,54.15%,55.17%,55.17%,48.69%,53.18%,45.56%,
Toothpaste,None,0.38%,0.75%,0.39%,0.38%,0.77%,1.12%,0.75%,0.77%,
Toothpaste,Low,5.77%,3.38%,3.15%,3.07%,3.07%,5.99%,3.75%,4.25%,
