Country,GNI Per Capita
 Afghanistan,2229
 Albania,13998
 Algeria,11174
 Andorra,56000
 Angola,6104
 Antigua and Barbuda,20895
 Argentina,21190
 Armenia,13894
 Australia,48085
 Austria,56197
 Azerbaijan,13784
 Bahamas,33747
 Bahrain,42522
 Bangladesh,4976
 Barbados,14936
 Belarus,18546
 Belgium,52085
 Belize,6382
 Benin,3254
 Bhutan,10746
 Bolivia (Plurinational State of),8554
 Bosnia and Herzegovina,14872
 Botswana,16437
 Brazil,14263
 Brunei Darussalam,63965
 Bulgaria,23325
 Burkina Faso,2133
 Burundi,754
 Cabo Verde,7019
 Cambodia,4246
 Cameroon,3581
 Canada,48527
 Central African Republic,993
 Chad,1555
 Chile,23261
 China,16057
 Colombia,14257
 Comoros,3099
 Congo,2879
 Congo (Democratic Republic of the),1063
 Costa Rica,18486
 Croatia,28070
 Cuba,8621
 Cyprus,38207
 Czechia,38109
 Côte d'Ivoire,5069
 Denmark,58662
 Djibouti,5689
 Dominica,11884
 Dominican Republic,17591
 Ecuador,11044
 Egypt,11466
 El Salvador,8359
 Equatorial Guinea,13944
 Eritrea,2793
 Estonia,36019
 Eswatini (Kingdom of),7919
 Ethiopia,2207
 Fiji,13009
 Finland,48511
 France,47173
 Gabon,13930
 Gambia,2168
 Georgia,14429
 Germany,55314
 Ghana,5269
 Greece,30155
 Grenada,15641
 Guatemala,8494
 Guinea,2405
 Guinea-Bissau,1996
 Guyana,9455
 Haiti,1709
 Honduras,5308
" Hong Kong, China (SAR)",62985
 Hungary,31329
 Iceland,54682
 India,6681
 Indonesia,11459
 Iran (Islamic Republic of),12447
 Iraq,10801
 Ireland,68371
 Israel,40187
 Italy,42776
 Jamaica,9319
 Japan,42932
 Jordan,9858
 Kazakhstan,22857
 Kenya,4244
 Kiribati,4260
 Korea (Republic of),43044
 Kuwait,58590
 Kyrgyzstan,4864
 Lao People's Democratic Republic,7413
 Latvia,30282
 Lebanon,14655
 Lesotho,3151
 Liberia,1258
 Libya,15688
 Liechtenstein,131032
 Lithuania,35799
 Luxembourg,72712
 Madagascar,1596
 Malawi,1035
 Malaysia,27534
 Maldives,17417
 Mali,2269
 Malta,39555
 Marshall Islands,5039
 Mauritania,5135
 Mauritius,25266
 Mexico,19160
 Micronesia (Federated States of),3983
 Moldova (Republic of),13664
 Mongolia,10839
 Montenegro,21399
 Morocco,7368
 Mozambique,1250
 Myanmar,4961
 Namibia,9357
 Nauru,16237
 Nepal,3457
 Netherlands,57707
 New Zealand,40799
 Nicaragua,5284
 Niger,1201
 Nigeria,4910
 North Macedonia,15865
 Norway,66494
 Oman,25944
 Pakistan,5005
 Palau,19317
" Palestine, State of",6417
 Panama,29558
 Papua New Guinea,4301
 Paraguay,12224
 Peru,12252
 Philippines,9778
 Poland,31623
 Portugal,33967
 Qatar,92418
 Romania,29497
 Russian Federation,26157
 Rwanda,2155
 Saint Kitts and Nevis,25038
 Saint Lucia,14616
 Saint Vincent and the Grenadines,12378
 Samoa,6309
 Sao Tome and Principe,3952
 Saudi Arabia,47495
 Senegal,3309
 Serbia,17192
 Seychelles,26903
 Sierra Leone,1668
 Singapore,88155
 Slovakia,32113
 Slovenia,38080
 Solomon Islands,2253
 South Africa,12129
 South Sudan,2003
 Spain,40975
 Sri Lanka,12707
 Sudan,3829
 Suriname,14324
 Sweden,54508
 Switzerland,69394
 Syrian Arab Republic,3613
 Tajikistan,3954
 Tanzania (United Republic of),2600
 Thailand,17781
 Timor-Leste,4440
 Togo,1602
 Tonga,6365
 Trinidad and Tobago,26231
 Tunisia,10414
 Turkey,27701
 Turkmenistan,14909
 Tuvalu,6132
 Uganda,2123
 Ukraine,13216
 United Arab Emirates,67462
 United Kingdom,46071
 United States,63826
 Uruguay,20064
 Uzbekistan,7142
 Vanuatu,3105
 Venezuela (Bolivarian Republic of),7045
 Viet Nam,7433
 Yemen,1594
 Zambia,3326
 Zimbabwe,2666
