Product,High,Medium,Low,None,Date
Total,51.55879363,39.69840732,7.082344967999999,1.660454083,2021-18-12
Paracetamol,42.47104247,32.81853282,18.53281853,6.177606178,2021-18-12
Frozen turkey,36.11111111,40.27777778,18.05555556,5.555555556,2021-18-12
Ibuprofen,37.74319066,43.57976654,14.0077821,4.669260700000001,2021-18-12
Chocolate selection boxes,45.13618677,36.96498054,10.89494163,7.003891051,2021-18-12
Fresh pork,40.38461538,44.23076923,13.84615385,1.5384615380000002,2021-18-12
Crisps (multipack),42.85714286,45.94594595,9.652509653,1.544401544,2021-18-12
Sparkling water,48.46153846,41.15384615,8.461538462,1.9230769230000002,2021-18-12
Toilet rolls,45.55984556,45.17374517,8.88030888,0.386100386,2021-18-12
Soap,52.30769231,40.38461538,6.153846154,1.153846154,2021-18-12
Washing up liquid,59.45945946,33.59073359,6.177606178,0.772200772,2021-18-12
Dried pasta,51.15384615,41.92307692,6.538461538,0.384615385,2021-18-12
Fresh fish,43.95161289999999,50.0,4.838709677,1.2096774190000001,2021-18-12
Bread,50.0,44.61538462,5.0,0.384615385,2021-18-12
Frozen chips,58.52713178,36.43410853,4.651162791,0.387596899,2021-18-12
Toothpaste,53.66795367,41.31274131,4.247104247,0.772200772,2021-18-12
Milk,50.38461538,44.61538462,4.615384615,0.384615385,2021-18-12
Fresh chicken,54.23076923,41.15384615,3.8461538460000004,0.7692307690000001,2021-18-12
Potatoes,64.23076923,31.15384615,3.8461538460000004,0.7692307690000001,2021-18-12
Frozen fish,55.859375,39.84375,3.515625,0.78125,2021-18-12
Frozen vegetables,59.68992248,36.43410853,3.488372093,0.387596899,2021-18-12
Fresh vegetables,63.84615385,32.30769231,3.076923077,0.7692307690000001,2021-18-12
Fresh fruit,54.23076923,43.07692308,1.9230769230000002,0.7692307690000001,2021-18-12
Beer,72.76264591,26.45914397,0.38910505799999995,0.38910505799999995,2021-18-12
