Product,Stock Level,Value,Date
Total,High,51.55879363,2021-18-12
Paracetamol,High,42.47104247,2021-18-12
Frozen turkey,High,36.11111111,2021-18-12
Ibuprofen,High,37.74319066,2021-18-12
Chocolate selection boxes,High,45.13618677,2021-18-12
Fresh pork,High,40.38461538,2021-18-12
Crisps (multipack),High,42.85714286,2021-18-12
Sparkling water,High,48.46153846,2021-18-12
Toilet rolls,High,45.55984556,2021-18-12
Soap,High,52.30769231,2021-18-12
Washing up liquid,High,59.45945946,2021-18-12
Dried pasta,High,51.15384615,2021-18-12
Fresh fish,High,43.95161289999999,2021-18-12
Bread,High,50.0,2021-18-12
Frozen chips,High,58.52713178,2021-18-12
Toothpaste,High,53.66795367,2021-18-12
Milk,High,50.38461538,2021-18-12
Fresh chicken,High,54.23076923,2021-18-12
Potatoes,High,64.23076923,2021-18-12
Frozen fish,High,55.859375,2021-18-12
Frozen vegetables,High,59.68992248,2021-18-12
Fresh vegetables,High,63.84615385,2021-18-12
Fresh fruit,High,54.23076923,2021-18-12
Beer,High,72.76264591,2021-18-12
Total,Medium,39.69840732,2021-18-12
Paracetamol,Medium,32.81853282,2021-18-12
Frozen turkey,Medium,40.27777778,2021-18-12
Ibuprofen,Medium,43.57976654,2021-18-12
Chocolate selection boxes,Medium,36.96498054,2021-18-12
Fresh pork,Medium,44.23076923,2021-18-12
Crisps (multipack),Medium,45.94594595,2021-18-12
Sparkling water,Medium,41.15384615,2021-18-12
Toilet rolls,Medium,45.17374517,2021-18-12
Soap,Medium,40.38461538,2021-18-12
Washing up liquid,Medium,33.59073359,2021-18-12
Dried pasta,Medium,41.92307692,2021-18-12
Fresh fish,Medium,50.0,2021-18-12
Bread,Medium,44.61538462,2021-18-12
Frozen chips,Medium,36.43410853,2021-18-12
Toothpaste,Medium,41.31274131,2021-18-12
Milk,Medium,44.61538462,2021-18-12
Fresh chicken,Medium,41.15384615,2021-18-12
Potatoes,Medium,31.15384615,2021-18-12
Frozen fish,Medium,39.84375,2021-18-12
Frozen vegetables,Medium,36.43410853,2021-18-12
Fresh vegetables,Medium,32.30769231,2021-18-12
Fresh fruit,Medium,43.07692308,2021-18-12
Beer,Medium,26.45914397,2021-18-12
Total,Low,7.082344967999999,2021-18-12
Paracetamol,Low,18.53281853,2021-18-12
Frozen turkey,Low,18.05555556,2021-18-12
Ibuprofen,Low,14.0077821,2021-18-12
Chocolate selection boxes,Low,10.89494163,2021-18-12
Fresh pork,Low,13.84615385,2021-18-12
Crisps (multipack),Low,9.652509653,2021-18-12
Sparkling water,Low,8.461538462,2021-18-12
Toilet rolls,Low,8.88030888,2021-18-12
Soap,Low,6.153846154,2021-18-12
Washing up liquid,Low,6.177606178,2021-18-12
Dried pasta,Low,6.538461538,2021-18-12
Fresh fish,Low,4.838709677,2021-18-12
Bread,Low,5.0,2021-18-12
Frozen chips,Low,4.651162791,2021-18-12
Toothpaste,Low,4.247104247,2021-18-12
Milk,Low,4.615384615,2021-18-12
Fresh chicken,Low,3.8461538460000004,2021-18-12
Potatoes,Low,3.8461538460000004,2021-18-12
Frozen fish,Low,3.515625,2021-18-12
Frozen vegetables,Low,3.488372093,2021-18-12
Fresh vegetables,Low,3.076923077,2021-18-12
Fresh fruit,Low,1.9230769230000002,2021-18-12
Beer,Low,0.38910505799999995,2021-18-12
Total,None,1.660454083,2021-18-12
Paracetamol,None,6.177606178,2021-18-12
Frozen turkey,None,5.555555556,2021-18-12
Ibuprofen,None,4.669260700000001,2021-18-12
Chocolate selection boxes,None,7.003891051,2021-18-12
Fresh pork,None,1.5384615380000002,2021-18-12
Crisps (multipack),None,1.544401544,2021-18-12
Sparkling water,None,1.9230769230000002,2021-18-12
Toilet rolls,None,0.386100386,2021-18-12
Soap,None,1.153846154,2021-18-12
Washing up liquid,None,0.772200772,2021-18-12
Dried pasta,None,0.384615385,2021-18-12
Fresh fish,None,1.2096774190000001,2021-18-12
Bread,None,0.384615385,2021-18-12
Frozen chips,None,0.387596899,2021-18-12
Toothpaste,None,0.772200772,2021-18-12
Milk,None,0.384615385,2021-18-12
Fresh chicken,None,0.7692307690000001,2021-18-12
Potatoes,None,0.7692307690000001,2021-18-12
Frozen fish,None,0.78125,2021-18-12
Frozen vegetables,None,0.387596899,2021-18-12
Fresh vegetables,None,0.7692307690000001,2021-18-12
Fresh fruit,None,0.7692307690000001,2021-18-12
Beer,None,0.38910505799999995,2021-18-12
