Country,Date,Stringency
Argentina,2020-01-01,0.0
Brazil,2020-01-01,0.0
China,2020-01-01,0.0
Germany,2020-01-01,0.0
United Kingdom,2020-01-01,0.0
India,2020-01-01,0.0
Japan,2020-01-01,0.0
Russia,2020-01-01,0.0
United States,2020-01-01,0.0
Argentina,2020-02-01,11.11
Brazil,2020-02-01,5.56
China,2020-02-01,77.31
Germany,2020-02-01,5.56
United Kingdom,2020-02-01,8.33
India,2020-02-01,10.19
Japan,2020-02-01,8.33
Russia,2020-02-01,8.33
United States,2020-02-01,0.0
Argentina,2020-03-01,11.11
Brazil,2020-03-01,5.56
China,2020-03-01,81.02
Germany,2020-03-01,25.0
United Kingdom,2020-03-01,11.11
India,2020-03-01,10.19
Japan,2020-03-01,34.26
Russia,2020-03-01,8.33
United States,2020-03-01,8.33
Argentina,2020-04-01,100.0
Brazil,2020-04-01,74.54
China,2020-04-01,73.61
Germany,2020-04-01,76.85
United Kingdom,2020-04-01,79.63
India,2020-04-01,100.0
Japan,2020-04-01,40.74
Russia,2020-04-01,87.04
United States,2020-04-01,72.69
Argentina,2020-05-01,88.89
Brazil,2020-05-01,77.31
China,2020-05-01,56.94
Germany,2020-05-01,76.85
United Kingdom,2020-05-01,79.63
India,2020-05-01,96.3
Japan,2020-05-01,47.22
Russia,2020-05-01,85.19
United States,2020-05-01,72.69
Argentina,2020-06-01,90.74
Brazil,2020-06-01,77.31
China,2020-06-01,81.94
Germany,2020-06-01,59.72
United Kingdom,2020-06-01,67.59
India,2020-06-01,87.5
Japan,2020-06-01,28.7
Russia,2020-06-01,74.54
United States,2020-06-01,72.69
Argentina,2020-07-01,92.59
Brazil,2020-07-01,77.31
China,2020-07-01,78.24
Germany,2020-07-01,63.43
United Kingdom,2020-07-01,71.3
India,2020-07-01,87.5
Japan,2020-07-01,25.93
Russia,2020-07-01,68.98
United States,2020-07-01,68.98
Argentina,2020-08-01,90.74
Brazil,2020-08-01,72.69
China,2020-08-01,78.24
Germany,2020-08-01,57.87
United Kingdom,2020-08-01,69.91
India,2020-08-01,85.65
Japan,2020-08-01,34.26
Russia,2020-08-01,62.5
United States,2020-08-01,67.13
Argentina,2020-09-01,87.96
Brazil,2020-09-01,69.91
China,2020-09-01,78.24
Germany,2020-09-01,59.72
United Kingdom,2020-09-01,64.35
India,2020-09-01,85.65
Japan,2020-09-01,32.41
Russia,2020-09-01,37.04
United States,2020-09-01,67.13
Argentina,2020-10-01,87.96
Brazil,2020-10-01,67.13
China,2020-10-01,54.17
Germany,2020-10-01,49.54
United Kingdom,2020-10-01,67.59
India,2020-10-01,73.61
Japan,2020-10-01,29.63
Russia,2020-10-01,40.74
United States,2020-10-01,62.5
Argentina,2020-11-01,81.94
Brazil,2020-11-01,57.87
China,2020-11-01,63.43
Germany,2020-11-01,60.65
United Kingdom,2020-11-01,75.0
India,2020-11-01,61.57
Japan,2020-11-01,35.19
Russia,2020-11-01,44.91
United States,2020-11-01,62.5
Argentina,2020-12-01,79.17
Brazil,2020-12-01,60.65
China,2020-12-01,81.94
Germany,2020-12-01,67.59
United Kingdom,2020-12-01,67.59
India,2020-12-01,68.98
Japan,2020-12-01,42.59
Russia,2020-12-01,47.69
United States,2020-12-01,75.46
Argentina,2021-01-01,79.17
Brazil,2021-01-01,64.35
China,2021-01-01,78.24
Germany,2021-01-01,82.41
United Kingdom,2021-01-01,79.63
India,2021-01-01,68.98
Japan,2021-01-01,48.15
Russia,2021-01-01,47.69
United States,2021-01-01,71.76
Argentina,2021-02-01,79.17
Brazil,2021-02-01,69.91
China,2021-02-01,78.24
Germany,2021-02-01,83.33
United Kingdom,2021-02-01,87.96
India,2021-02-01,61.57
Japan,2021-02-01,49.54
Russia,2021-02-01,45.83
United States,2021-02-01,71.76
Argentina,2021-03-01,77.31
Brazil,2021-03-01,67.13
China,2021-03-01,61.57
Germany,2021-03-01,77.78
United Kingdom,2021-03-01,86.11
India,2021-03-01,63.43
Japan,2021-03-01,48.15
Russia,2021-03-01,45.83
United States,2021-03-01,68.06
Argentina,2021-04-01,71.76
Brazil,2021-04-01,70.83
China,2021-04-01,55.56
Germany,2021-04-01,75.0
United Kingdom,2021-04-01,70.37
India,2021-04-01,57.87
Japan,2021-04-01,42.59
Russia,2021-04-01,36.57
United States,2021-04-01,56.94
Argentina,2021-05-01,77.31
Brazil,2021-05-01,60.65
China,2021-05-01,78.24
Germany,2021-05-01,75.0
United Kingdom,2021-05-01,61.11
India,2021-05-01,73.61
Japan,2021-05-01,49.07
Russia,2021-05-01,36.57
United States,2021-05-01,56.94
Argentina,2021-06-01,81.48
Brazil,2021-06-01,66.2
China,2021-06-01,71.76
Germany,2021-06-01,69.44
United Kingdom,2021-06-01,62.5
India,2021-06-01,81.94
Japan,2021-06-01,49.07
Russia,2021-06-01,36.57
United States,2021-06-01,46.76
Argentina,2021-07-01,75.0
Brazil,2021-07-01,60.65
China,2021-07-01,71.76
Germany,2021-07-01,67.59
United Kingdom,2021-07-01,51.39
India,2021-07-01,81.94
Japan,2021-07-01,53.24
Russia,2021-07-01,46.76
United States,2021-07-01,61.57
Argentina,2021-08-01,75.0
Brazil,2021-08-01,56.94
China,2021-08-01,76.39
Germany,2021-08-01,64.81
United Kingdom,2021-08-01,43.98
India,2021-08-01,74.54
Japan,2021-08-01,50.46
Russia,2021-08-01,30.09
United States,2021-08-01,49.54
Argentina,2021-09-01,75.93
Brazil,2021-09-01,54.17
China,2021-09-01,76.39
Germany,2021-09-01,60.19
United Kingdom,2021-09-01,43.98
India,2021-09-01,70.83
Japan,2021-09-01,52.31
Russia,2021-09-01,52.31
United States,2021-09-01,52.31
Argentina,2021-10-01,42.59
Brazil,2021-10-01,54.17
China,2021-10-01,76.39
Germany,2021-10-01,46.3
United Kingdom,2021-10-01,41.2
India,2021-10-01,65.28
Japan,2021-10-01,47.22
Russia,2021-10-01,54.17
United States,2021-10-01,56.02
Argentina,2021-11-01,42.59
Brazil,2021-11-01,44.91
China,2021-11-01,76.39
Germany,2021-11-01,43.98
United Kingdom,2021-11-01,46.76
India,2021-11-01,44.91
Japan,2021-11-01,47.22
Russia,2021-11-01,56.02
United States,2021-11-01,56.02
Argentina,2021-12-01,42.59
Brazil,2021-12-01,61.57
China,2021-12-01,76.39
Germany,2021-12-01,76.39
