Country,Month,Unemployment,Stringency
AUS,2020-01-01,5.311689,0.0
AUS,2020-02-01,5.13366,13.89
AUS,2020-03-01,5.271841,19.44
AUS,2020-04-01,6.374280000000001,71.3
AUS,2020-05-01,7.01855,69.44
AUS,2020-06-01,7.353492999999999,62.04
AUS,2020-07-01,7.447852,68.98
AUS,2020-08-01,6.7581169999999995,68.06
AUS,2020-09-01,6.854742,75.46
AUS,2020-10-01,6.9360289999999996,68.06
AUS,2020-11-01,6.83282,62.5
AUS,2020-12-01,6.57785,62.5
AUS,2021-01-01,6.399354,70.83
AUS,2021-02-01,5.862513,78.24
AUS,2021-03-01,5.6935709999999995,50.46
AUS,2021-04-01,5.47039,46.76
AUS,2021-05-01,5.064299,44.91
AUS,2021-06-01,4.905563,75.46
AUS,2021-07-01,4.627530999999999,68.06
AUS,2021-08-01,4.524375,68.06
AUS,2021-09-01,4.631093,71.76
AUS,2021-10-01,5.2228449999999995,71.76
DEU,2020-01-01,3.4,0.0
DEU,2020-02-01,3.5,5.56
DEU,2020-03-01,3.6,25.0
DEU,2020-04-01,3.7,76.85
DEU,2020-05-01,3.8,76.85
DEU,2020-06-01,3.9,59.72
DEU,2020-07-01,4.0,63.43
DEU,2020-08-01,4.1,57.87
DEU,2020-09-01,4.1,59.72
DEU,2020-10-01,4.1,49.54
DEU,2020-11-01,4.1,60.65
DEU,2020-12-01,4.0,67.59
DEU,2021-01-01,3.9,82.41
DEU,2021-02-01,3.9,83.33
DEU,2021-03-01,3.8,77.78
DEU,2021-04-01,3.7,75.0
DEU,2021-05-01,3.6,75.0
DEU,2021-06-01,3.5,69.44
DEU,2021-07-01,3.4,67.59
DEU,2021-08-01,3.4,64.81
DEU,2021-09-01,3.3,60.19
DEU,2021-10-01,3.3,46.3
JPN,2020-01-01,2.4,0.0
JPN,2020-02-01,2.4,8.33
JPN,2020-03-01,2.5,34.26
JPN,2020-04-01,2.6,40.74
JPN,2020-05-01,2.8,47.22
JPN,2020-06-01,2.8,28.7
JPN,2020-07-01,2.9,25.93
JPN,2020-08-01,3.0,34.26
JPN,2020-09-01,3.0,32.41
JPN,2020-10-01,3.1,29.63
JPN,2020-11-01,3.0,35.19
JPN,2020-12-01,3.0,42.59
JPN,2021-01-01,2.9,48.15
JPN,2021-02-01,2.9,49.54
JPN,2021-03-01,2.6,48.15
JPN,2021-04-01,2.8,42.59
JPN,2021-05-01,3.0,49.07
JPN,2021-06-01,2.9,49.07
JPN,2021-07-01,2.8,53.24
JPN,2021-08-01,2.8,50.46
JPN,2021-09-01,2.8,52.31
JPN,2021-10-01,2.7,47.22
GBR,2020-01-01,3.961213,0.0
GBR,2020-02-01,3.996721,8.33
GBR,2020-03-01,4.04138,11.11
GBR,2020-04-01,4.14699,79.63
GBR,2020-05-01,4.137189,79.63
GBR,2020-06-01,4.318904,67.59
GBR,2020-07-01,4.538391000000001,71.3
GBR,2020-08-01,4.84807,69.91
GBR,2020-09-01,5.049924,64.35
GBR,2020-10-01,5.10721,67.59
GBR,2020-11-01,5.219832,75.0
GBR,2020-12-01,5.134026,67.59
GBR,2021-01-01,5.034872,79.63
GBR,2021-02-01,4.885616000000001,87.96
GBR,2021-03-01,4.840756,86.11
GBR,2021-04-01,4.839443,70.37
GBR,2021-05-01,4.723915,61.11
GBR,2021-06-01,4.572463,62.5
GBR,2021-07-01,4.451372,51.39
GBR,2021-08-01,4.263134,43.98
GBR,2021-09-01,4.1953059999999995,43.98
USA,2020-01-01,3.5,0.0
USA,2020-02-01,3.5,0.0
USA,2020-03-01,4.4,8.33
USA,2020-04-01,14.8,72.69
USA,2020-05-01,13.3,72.69
USA,2020-06-01,11.1,72.69
USA,2020-07-01,10.2,68.98
USA,2020-08-01,8.4,67.13
USA,2020-09-01,7.8,67.13
USA,2020-10-01,6.9,62.5
USA,2020-11-01,6.7,62.5
USA,2020-12-01,6.7,75.46
USA,2021-01-01,6.3,71.76
USA,2021-02-01,6.2,71.76
USA,2021-03-01,6.0,68.06
USA,2021-04-01,6.1,56.94
USA,2021-05-01,5.8,56.94
USA,2021-06-01,5.9,46.76
USA,2021-07-01,5.4,61.57
USA,2021-08-01,5.2,49.54
USA,2021-09-01,4.8,52.31
USA,2021-10-01,4.6,56.02
USA,2021-11-01,4.2,56.02
