Country,Month,Unemployment,Stringency
AUS,2020-01-01,5.311689,0.0
AUS,2020-02-01,5.13366,13.89
AUS,2020-03-01,5.271841,19.44
AUS,2020-04-01,6.374280000000001,71.3
AUS,2020-05-01,7.01855,69.44
AUS,2020-06-01,7.353492999999999,62.04
AUS,2020-07-01,7.447852,68.98
AUS,2020-08-01,6.7581169999999995,68.06
AUS,2020-09-01,6.854742,75.46
AUS,2020-10-01,6.9360289999999996,68.06
AUS,2020-11-01,6.83282,62.5
AUS,2020-12-01,6.57785,62.5
AUS,2021-01-01,6.399354,70.83
AUS,2021-02-01,5.862513,78.24
AUS,2021-03-01,5.6935709999999995,50.46
AUS,2021-04-01,5.47039,46.76
AUS,2021-05-01,5.064299,44.91
AUS,2021-06-01,4.905563,75.46
AUS,2021-07-01,4.627530999999999,68.06
AUS,2021-08-01,4.524375,68.06
AUS,2021-09-01,4.631093,71.76
AUS,2021-10-01,5.2228449999999995,71.76
AUT,2020-01-01,4.5,0.0
AUT,2020-02-01,4.5,0.0
AUT,2020-03-01,4.9,11.11
AUT,2020-04-01,6.0,81.48
AUT,2020-05-01,7.1,67.59
AUT,2020-06-01,7.7,53.7
AUT,2020-07-01,6.8,41.67
AUT,2020-08-01,6.4,37.96
AUT,2020-09-01,6.4,37.96
AUT,2020-10-01,6.1,40.74
AUT,2020-11-01,6.1,64.81
AUT,2020-12-01,6.8,82.41
AUT,2021-01-01,7.3,82.41
AUT,2021-02-01,7.0,82.41
AUT,2021-03-01,6.7,75.93
AUT,2021-04-01,7.1,75.0
AUT,2021-05-01,6.7,76.85
AUT,2021-06-01,6.2,68.52
AUT,2021-07-01,6.0,49.07
AUT,2021-08-01,5.9,49.07
AUT,2021-09-01,5.2,58.8
AUT,2021-10-01,5.8,51.85
BEL,2020-01-01,5.1,0.0
BEL,2020-02-01,5.0,11.11
BEL,2020-03-01,4.9,11.11
BEL,2020-04-01,4.9,81.48
BEL,2020-05-01,5.0,81.48
BEL,2020-06-01,5.4,75.0
BEL,2020-07-01,6.0,50.0
BEL,2020-08-01,6.4,61.11
BEL,2020-09-01,6.3,52.78
BEL,2020-10-01,5.8,47.22
BEL,2020-11-01,5.8,56.48
BEL,2020-12-01,6.0,60.19
BEL,2021-01-01,6.5,60.19
BEL,2021-02-01,6.7,62.96
BEL,2021-03-01,6.7,62.96
BEL,2021-04-01,6.5,70.37
BEL,2021-05-01,6.3,54.63
BEL,2021-06-01,6.2,50.93
BEL,2021-07-01,6.2,50.93
BEL,2021-08-01,6.4,47.22
BEL,2021-09-01,6.3,43.06
BEL,2021-10-01,6.3,40.28
CAN,2020-01-01,5.6,0.0
CAN,2020-02-01,5.7,2.78
CAN,2020-03-01,7.9,2.78
CAN,2020-04-01,13.1,74.54
CAN,2020-05-01,13.7,72.69
CAN,2020-06-01,12.5,70.83
CAN,2020-07-01,10.9,68.98
CAN,2020-08-01,10.2,67.13
CAN,2020-09-01,9.2,67.13
CAN,2020-10-01,9.0,63.43
CAN,2020-11-01,8.6,63.43
CAN,2020-12-01,8.8,70.83
CAN,2021-01-01,9.4,70.83
CAN,2021-02-01,8.2,75.46
CAN,2021-03-01,7.5,75.46
CAN,2021-04-01,8.1,75.46
CAN,2021-05-01,8.2,75.46
CAN,2021-06-01,7.8,73.61
CAN,2021-07-01,7.5,69.91
CAN,2021-08-01,7.1,60.65
CAN,2021-09-01,6.9,69.91
CAN,2021-10-01,6.7,68.06
CAN,2021-11-01,6.0,69.91
CZE,2020-01-01,1.9,0.0
CZE,2020-02-01,1.8,16.67
CZE,2020-03-01,1.9,19.44
CZE,2020-04-01,2.2,82.41
CZE,2020-05-01,2.4,54.63
CZE,2020-06-01,2.7,38.89
CZE,2020-07-01,2.9,34.72
CZE,2020-08-01,2.7,36.11
CZE,2020-09-01,2.8,36.11
CZE,2020-10-01,3.2,38.89
CZE,2020-11-01,2.9,73.15
CZE,2020-12-01,3.2,69.44
CZE,2021-01-01,3.2,73.15
CZE,2021-02-01,3.2,81.48
CZE,2021-03-01,3.4,75.0
CZE,2021-04-01,3.3,81.48
CZE,2021-05-01,3.1,56.48
CZE,2021-06-01,2.8,50.93
CZE,2021-07-01,2.6,37.96
CZE,2021-08-01,2.8,37.04
CZE,2021-09-01,2.6,32.41
CZE,2021-10-01,2.6,32.41
DNK,2020-01-01,4.9,0.0
DNK,2020-02-01,4.8,0.0
DNK,2020-03-01,4.8,11.11
DNK,2020-04-01,4.9,72.22
DNK,2020-05-01,5.6,68.52
DNK,2020-06-01,6.1,60.19
DNK,2020-07-01,6.5,57.41
DNK,2020-08-01,6.3,53.7
DNK,2020-09-01,6.1,50.93
DNK,2020-10-01,5.9,50.93
DNK,2020-11-01,5.9,39.81
DNK,2020-12-01,6.0,45.37
DNK,2021-01-01,6.0,51.85
DNK,2021-02-01,6.0,70.37
DNK,2021-03-01,5.7,62.96
DNK,2021-04-01,5.4,64.81
DNK,2021-05-01,5.1,62.04
DNK,2021-06-01,4.8,55.56
DNK,2021-07-01,4.7,50.0
DNK,2021-08-01,4.8,38.89
DNK,2021-09-01,5.1,29.63
DNK,2021-10-01,5.1,24.07
FIN,2020-01-01,6.9,0.0
FIN,2020-02-01,6.6,5.56
FIN,2020-03-01,6.7,19.44
FIN,2020-04-01,7.1,71.3
FIN,2020-05-01,8.6,68.52
FIN,2020-06-01,7.6,44.44
FIN,2020-07-01,8.3,35.19
FIN,2020-08-01,8.8,35.19
FIN,2020-09-01,8.2,32.41
FIN,2020-10-01,8.3,32.41
FIN,2020-11-01,7.9,40.74
FIN,2020-12-01,8.2,46.76
FIN,2021-01-01,8.4,52.31
FIN,2021-02-01,8.0,52.31
FIN,2021-03-01,7.5,52.31
FIN,2021-04-01,8.5,52.31
FIN,2021-05-01,8.2,52.31
FIN,2021-06-01,7.7,52.31
FIN,2021-07-01,7.7,43.98
FIN,2021-08-01,7.2,38.43
FIN,2021-09-01,7.7,36.57
FIN,2021-10-01,6.7,29.63
FRA,2020-01-01,8.1,0.0
FRA,2020-02-01,7.7,5.56
FRA,2020-03-01,7.5,34.72
FRA,2020-04-01,7.5,87.96
FRA,2020-05-01,7.1,87.96
FRA,2020-06-01,7.5,75.0
FRA,2020-07-01,8.7,51.85
FRA,2020-08-01,9.0,46.3
FRA,2020-09-01,9.0,46.76
FRA,2020-10-01,8.3,49.54
FRA,2020-11-01,8.0,78.7
FRA,2020-12-01,7.8,75.0
FRA,2021-01-01,7.9,63.89
FRA,2021-02-01,8.1,63.89
FRA,2021-03-01,8.1,70.37
